Processes,MatrixSize,Runs,Repetitions,AverageSeconds,MinSeconds,MaxSeconds,Speedup,Efficiency
1,1024,3,1,1.905565,1.794168,2.044272,1.000,1.000
2,1024,3,1,1.103537,1.062238,1.151334,1.727,0.863
3,1024,3,1,0.857952,0.808403,0.900244,2.221,0.740
4,1024,3,1,0.760919,0.719373,0.783511,2.504,0.626
5,1024,3,1,0.696909,0.660227,0.726090,2.734,0.547
6,1024,3,1,0.639086,0.577648,0.707026,2.982,0.497
7,1024,3,1,0.567770,0.559811,0.582871,3.356,0.479
8,1024,3,1,0.613990,0.599404,0.623259,3.104,0.388
9,1024,3,1,0.541038,0.515947,0.565914,3.522,0.391
10,1024,3,1,0.540911,0.521879,0.566900,3.523,0.352
11,1024,3,1,0.559125,0.513228,0.649975,3.408,0.310
12,1024,3,1,0.725286,0.564132,0.815173,2.627,0.219
